Browser Size,Device Category,Users
1230x660,desktop,1
1230x730,desktop,1
1230x740,desktop,1
1240x570,tablet,1
1240x690,desktop,1
1240x730,desktop,1
1250x1340,desktop,1
1250x510,desktop,1
1250x520,desktop,1
1250x700,desktop,1
1250x810,desktop,1
1250x850,desktop,1
1250x860,desktop,1
1250x980,desktop,1
1260x1030,desktop,1
1260x1300,desktop,1
1260x1340,desktop,1
1260x1350,desktop,1
1260x580,desktop,1
1260x610,desktop,1
1260x620,desktop,1
1260x640,desktop,1
1260x690,desktop,1
1260x730,desktop,1
1260x820,desktop,1
1260x840,desktop,1
1260x990,desktop,1
1270x1250,desktop,1
1270x1320,desktop,1
1270x1350,desktop,1
1270x1370,desktop,1
1270x530,desktop,1
1270x540,desktop,1
1270x610,desktop,1
1270x630,desktop,1
1270x640,desktop,1
1270x670,desktop,1
1270x680,desktop,1
1270x760,desktop,1
1270x770,desktop,1
1270x850,desktop,1
1270x880,desktop,1
1270x920,desktop,1
1280x1260,desktop,1
1280x1270,desktop,1
1280x1330,desktop,1
1280x1340,desktop,1
1280x690,desktop,1
1280x730,desktop,1
1280x740,desktop,1
1280x750,desktop,1
1280x770,desktop,1
1280x800,desktop,1
1280x870,desktop,1
1280x980,desktop,1
1290x1260,desktop,1
1290x1300,desktop,1
1290x1340,desktop,1
1290x700,desktop,1
1290x730,desktop,1
1290x740,desktop,1
1290x770,desktop,1
1290x850,desktop,1
1290x930,desktop,1
1300x1060,desktop,1
1300x1130,desktop,1
1300x1300,desktop,1
1300x570,desktop,1
1300x590,desktop,1
1300x620,desktop,1
1300x820,desktop,1
1300x840,desktop,1
1300x940,desktop,1
1310x630,desktop,1
1310x720,desktop,1
1310x740,desktop,1
1310x760,desktop,1
1310x800,desktop,1
1310x920,desktop,1
1310x930,desktop,1
1320x610,desktop,1
1320x660,desktop,1
1320x870,desktop,1
1320x900,desktop,1
1330x1030,desktop,1
1330x1150,desktop,1
1330x1300,desktop,1
1330x1340,desktop,1
1330x570,desktop,1
1330x580,desktop,1
1330x590,desktop,1
1330x630,desktop,1
1330x660,desktop,1
1330x700,desktop,1
1330x730,desktop,1
1330x750,desktop,1
1330x800,desktop,1
1340x1340,desktop,1
1340x610,desktop,1
1340x650,desktop,1
1340x670,desktop,1
1340x730,desktop,1
1340x770,desktop,1
1340x850,desktop,1
1340x890,desktop,1
1340x900,desktop,1
1340x920,desktop,1
1340x950,desktop,1
1350x1300,desktop,1
1350x570,desktop,1
1350x630,desktop,1
1350x640,desktop,1
1350x670,desktop,1
1350x710,desktop,1
1350x810,desktop,1
1350x900,desktop,1
1360x620,desktop,1
1360x690,desktop,1
1360x700,desktop,1
1360x740,desktop,1
1360x760,desktop,1
1360x790,desktop,1
1370x1020,desktop,1
1370x380,desktop,1
1370x610,desktop,1
1370x620,desktop,1
1370x650,tablet,1
1370x700,desktop,1
1370x890,desktop,1
1370x920,desktop,1
1380x1180,desktop,1
1380x1330,desktop,1
1380x1340,desktop,1
1380x1370,desktop,1
1380x380,desktop,1
1380x570,desktop,1
1380x700,desktop,1
1380x710,desktop,1
1380x730,desktop,1
1380x740,desktop,1
1380x750,desktop,1
1380x940,desktop,1
1380x950,desktop,1
1390x1010,desktop,1
1390x1120,desktop,1
1390x1150,desktop,1
1390x1260,desktop,1
1390x1300,desktop,1
1390x640,desktop,1
1390x650,desktop,1
1390x670,desktop,1
1390x700,desktop,1
1390x770,desktop,1
1390x780,desktop,1
1400x1320,desktop,1
1400x630,desktop,1
1400x720,desktop,1
1400x840,desktop,1
1400x860,desktop,1
1400x970,desktop,1
1400x980,desktop,1
1410x1320,desktop,1
1410x690,desktop,1
1410x710,desktop,1
1410x730,desktop,1
1410x760,desktop,1
1410x960,desktop,1
1420x1060,desktop,1
1420x1300,desktop,1
1420x1340,desktop,1
1420x740,desktop,1
1420x770,desktop,1
1420x800,desktop,1
1420x810,desktop,1
1420x850,desktop,1
1420x880,desktop,1
1430x1300,desktop,1
1430x750,desktop,1
1430x800,desktop,1
1430x820,desktop,1
1430x840,desktop,1
1430x880,desktop,1
1430x950,desktop,1
1440x1220,desktop,1
1440x1270,desktop,1
1440x1300,desktop,1
1440x1310,desktop,1
1440x350,desktop,1
